Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
1790;-0.42;-0.58;9.66;-0.14;0.69;-0.43;0.07;-0.35;-0.49
1798;-0.43;-0.65;9.66;-0.14;0.70;-0.45;-0.07;-0.14;-0.28
1807;-0.42;-0.60;9.52;-0.14;0.70;-0.45;0.00;-0.49;0.00
1816;-0.45;-0.55;9.63;-0.14;0.70;-0.45;0.00;-0.56;0.00
1825;-0.45;-0.55;9.73;-0.14;0.69;-0.45;0.00;-0.42;-0.14
1833;-0.43;-0.60;9.62;-0.14;0.69;-0.45;-0.28;-0.63;-0.21
1842;-0.42;-0.60;9.54;-0.14;0.69;-0.45;-0.14;-0.21;-0.63
1851;-0.38;-0.60;9.50;-0.14;0.69;-0.46;0.14;-0.21;-0.28
1859;-0.57;-0.52;9.64;-0.14;0.69;-0.46;0.14;0.14;-0.49
1868;-0.37;-0.57;9.63;-0.14;0.69;-0.46;-0.07;-0.28;0.07
1877;-0.45;-0.65;9.48;-0.14;0.68;-0.45;0.07;-0.49;-0.28
1886;-0.41;-0.55;9.47;-0.14;0.68;-0.45;0.07;-0.28;-0.14
1894;-0.41;-0.65;9.50;-0.14;0.68;-0.45;0.00;-0.35;-0.14
1903;-0.42;-0.60;9.50;-0.14;0.68;-0.44;0.00;0.07;-0.35
1912;-0.45;-0.57;9.50;-0.14;0.68;-0.44;0.21;-0.28;-0.28
1921;-0.39;-0.66;9.55;-0.14;0.68;-0.44;0.07;-0.56;-0.07
1929;-0.37;-0.64;9.53;-0.14;0.68;-0.44;-0.28;-0.21;0.00
1938;-0.33;-0.75;9.60;-0.14;0.68;-0.44;-0.07;-0.28;-0.35
1947;-0.33;-0.65;9.54;-0.14;0.68;-0.44;0.07;-0.42;-0.14
1956;-0.42;-0.69;9.60;-0.15;0.69;-0.43;-0.14;-0.35;-0.28
1964;-0.38;-0.60;9.64;-0.15;0.69;-0.43;0.00;0.21;-0.07
1973;-0.44;-0.55;9.60;-0.15;0.69;-0.43;0.14;-0.35;0.21
1982;-0.41;-0.61;9.53;-0.15;0.69;-0.44;0.07;-0.35;-0.14
1991;-0.37;-0.58;9.54;-0.15;0.69;-0.44;-0.35;-0.35;-0.21
1999;-0.37;-0.58;9.56;-0.15;0.69;-0.44;-0.07;-0.28;-0.07
2008;-0.44;-0.62;9.63;-0.14;0.68;-0.44;-0.28;-0.42;0.00
2017;-0.55;-0.57;9.50;-0.14;0.68;-0.44;-0.28;-0.28;-0.07
2026;-0.45;-0.73;9.58;-0.14;0.68;-0.44;-0.14;-0.49;-0.56
2034;-0.39;-0.60;9.47;-0.14;0.68;-0.43;0.07;-0.49;-0.35
2043;-0.49;-0.62;9.56;-0.14;0.68;-0.43;0.07;-0.21;-0.14
2052;-0.44;-0.65;9.67;-0.14;0.68;-0.43;-0.14;-0.56;-0.21
2061;-0.41;-0.48;9.62;-0.15;0.69;-0.44;0.21;-0.42;-0.21
2069;-0.50;-0.61;9.61;-0.15;0.69;-0.44;-0.28;-0.42;-0.28
2078;-0.35;-0.52;9.54;-0.15;0.69;-0.44;0.07;-0.42;-0.42
2087;-0.32;-0.53;9.66;-0.15;0.70;-0.45;-0.07;-0.28;-0.07
2096;-0.39;-0.57;9.49;-0.15;0.70;-0.45;0.00;-0.49;0.07
2104;-0.42;-0.55;9.56;-0.15;0.70;-0.44;0.00;-0.14;-0.28
2113;-0.40;-0.67;9.69;-0.14;0.69;-0.44;-0.21;-0.63;-0.28
2122;-0.37;-0.57;9.60;-0.14;0.69;-0.44;-0.07;-0.21;-0.35
2131;-0.39;-0.56;9.65;-0.15;0.69;-0.45;-0.35;-0.21;-0.07
2139;-0.43;-0.61;9.55;-0.15;0.69;-0.45;-0.14;-0.35;-0.21
2148;-0.38;-0.60;9.48;-0.15;0.69;-0.45;17.71;-0.35;0.14
2157;-0.34;-0.61;9.63;-0.15;0.68;-0.44;0.14;-0.42;-0.07
2166;-0.37;-0.56;9.51;-0.15;0.68;-0.44;-0.14;-0.28;0.07
2174;-0.40;-0.62;9.63;-0.15;0.68;-0.44;-0.14;-0.42;-0.07
2183;-0.46;-0.65;9.52;-0.15;0.69;-0.44;-0.07;-0.21;-0.28
2192;-0.40;-0.69;9.53;-0.15;0.69;-0.44;0.00;-0.35;-0.21
2201;-0.48;-0.56;9.60;-0.15;0.69;-0.44;0.28;-0.14;-0.35
2209;-0.41;-0.55;9.50;-0.15;0.68;-0.45;-0.49;-0.35;-0.14
2218;-0.39;-0.62;9.55;-0.15;0.68;-0.45;0.14;-0.63;-0.07
2227;-0.47;-0.60;9.53;-0.15;0.68;-0.45;0.21;-0.35;-0.70
2236;-0.45;-0.60;9.49;-0.15;0.68;-0.44;0.07;-0.28;-0.21
2244;-0.34;-0.58;9.48;-0.15;0.68;-0.44;-0.21;-0.63;-0.49
2253;-0.47;-0.64;9.50;-0.15;0.68;-0.44;-0.14;-0.28;-0.14
2262;-0.41;-0.59;9.53;-0.14;0.68;-0.44;-0.21;-0.28;-0.21
2271;-0.37;-0.60;9.43;-0.14;0.68;-0.44;0.14;-0.42;-0.14
2279;-0.49;-0.62;9.56;-0.14;0.68;-0.44;0.21;-0.35;-0.14
2288;-0.45;-0.64;9.54;-0.14;0.69;-0.44;-0.21;-0.28;-0.07
2297;-0.35;-0.56;9.56;-0.14;0.69;-0.44;-0.28;-0.63;-0.28
2305;-0.42;-0.60;9.61;-0.14;0.69;-0.44;-0.35;-0.42;-0.21
2314;-0.50;-0.62;9.55;-0.15;0.69;-0.45;0.14;-0.28;0.00
2323;-0.40;-0.63;9.58;-0.15;0.69;-0.45;0.07;-0.35;-0.42
2332;-0.41;-0.59;9.62;-0.15;0.69;-0.45;0.42;-0.63;-0.35
2340;-0.40;-0.60;9.57;-0.14;0.69;-0.45;-0.35;-0.49;-0.49
2349;-0.37;-0.58;9.60;-0.14;0.69;-0.45;-0.14;-0.49;-0.07
2358;-0.48;-0.59;9.58;-0.14;0.69;-0.45;-0.56;-0.14;-0.49
2367;-0.44;-0.60;9.65;-0.14;0.69;-0.45;0.14;-0.42;-0.42
2375;-0.38;-0.63;9.51;-0.14;0.69;-0.45;-0.49;0.07;-0.28
2384;-0.43;-0.65;9.54;-0.14;0.69;-0.45;0.00;-0.49;-0.28
2393;-0.47;-0.65;9.53;-0.14;0.68;-0.44;0.21;-0.77;-0.49
2402;-0.37;-0.61;9.53;-0.14;0.68;-0.44;0.21;-0.42;-0.56
2410;-0.41;-0.60;9.55;-0.14;0.68;-0.44;-0.07;-0.28;-0.49
2419;-0.39;-0.57;9.58;-0.16;0.69;-0.44;-0.07;-0.56;-0.21
2428;-0.42;-0.54;9.57;-0.16;0.69;-0.44;-0.07;-0.56;-0.49
2437;-0.49;-0.48;9.47;-0.16;0.69;-0.44;-0.14;-0.14;-0.14
2445;-0.44;-0.61;9.53;-0.15;0.69;-0.44;-0.07;-0.28;-0.14
2454;-0.42;-0.59;9.45;-0.15;0.69;-0.44;0.21;-0.49;-0.07
2463;-0.43;-0.58;9.49;-0.15;0.69;-0.44;0.07;-0.35;-0.14
2472;-0.36;-0.70;9.57;-0.14;0.68;-0.44;-0.28;-0.56;-0.35
2480;-0.36;-0.60;9.66;-0.14;0.68;-0.44;-0.21;-0.07;-0.28
2489;-0.45;-0.57;9.59;-0.14;0.68;-0.44;-0.21;-0.49;-0.35
2498;-0.45;-0.54;9.49;-0.15;0.68;-0.44;0.14;-0.49;-0.28
2507;-0.44;-0.58;9.51;-0.15;0.68;-0.44;-0.07;-0.42;-0.35
2515;-0.46;-0.55;9.68;-0.15;0.69;-0.44;0.14;-0.42;0.00
2524;-0.37;-0.67;9.60;-0.15;0.69;-0.44;-0.42;-0.42;-0.21
2533;-0.51;-0.57;9.55;-0.15;0.69;-0.44;0.07;-0.14;-0.21
2542;-0.44;-0.62;9.53;-0.15;0.68;-0.44;-0.07;-0.28;-0.14
2550;-0.37;-0.60;9.60;-0.15;0.68;-0.44;0.00;-0.21;-0.42
2559;-0.48;-0.62;9.58;-0.15;0.68;-0.44;-0.56;-0.42;-0.35
2568;-0.39;-0.62;9.50;-0.14;0.69;-0.44;0.35;-0.49;-0.28
2577;-0.41;-0.63;9.53;-0.14;0.69;-0.44;0.21;-0.14;-0.21
2585;-0.44;-0.64;9.64;-0.14;0.69;-0.44;-0.42;-0.14;0.00
2594;-0.38;-0.62;9.48;-0.14;0.69;-0.44;0.07;-0.56;-0.35
2603;-0.38;-0.62;9.43;-0.14;0.69;-0.44;-0.42;0.00;-0.07
2612;-0.34;-0.57;9.53;-0.14;0.69;-0.44;0.00;-0.35;-0.42
2620;-0.40;-0.67;9.53;-0.14;0.69;-0.45;-0.14;-0.14;-0.63
2629;-0.40;-0.60;9.59;-0.14;0.69;-0.45;-0.14;-0.28;-0.28
2638;-0.36;-0.65;9.55;-0.14;0.69;-0.45;0.14;-0.56;0.00
2647;-0.39;-0.62;9.53;-0.15;0.69;-0.43;-0.14;-0.28;-0.21
2655;-0.46;-0.60;9.56;-0.15;0.69;-0.43;0.07;-0.49;17.64
2664;-0.40;-0.58;9.53;-0.15;0.69;-0.43;-0.70;-0.21;-0.28
2673;-0.47;-0.55;9.68;-0.14;0.69;-0.45;0.21;-0.28;-0.14
2682;-0.38;-0.55;9.53;-0.14;0.69;-0.45;0.00;-0.14;-0.35
2690;-0.45;-0.65;9.58;-0.14;0.69;-0.45;0.00;-0.28;-0.42
