Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
1216;-1.29;-9.97;-1.24;0.06;0.94;-0.08;1.05;1.19;0.14
1224;-1.11;-9.93;-1.33;0.06;0.94;-0.08;0.84;1.33;0.00
1233;-1.13;-9.83;-1.39;0.06;0.95;-0.08;0.49;1.05;-0.07
1242;-1.31;-9.86;-1.42;0.06;0.95;-0.08;-0.07;0.63;0.42
1251;-1.23;-9.85;-1.43;0.06;0.95;-0.08;-0.63;-0.21;-0.28
1260;-1.36;-9.89;-1.39;0.06;0.94;-0.10;-0.35;0.14;0.00
1268;-1.24;-9.84;-1.44;0.06;0.94;-0.10;0.07;-0.21;-0.28
1277;-1.17;-9.86;-1.49;0.06;0.94;-0.10;0.21;-0.07;-0.42
1286;-1.16;-9.80;-1.41;0.07;0.95;-0.08;-1.19;-0.21;-0.42
1295;-1.23;-9.87;-1.31;0.07;0.95;-0.08;-1.61;-0.63;-0.98
1304;-1.19;-9.96;-1.27;0.07;0.95;-0.08;-1.61;-0.21;-1.26
1313;-1.30;-9.92;-1.21;0.06;0.95;-0.09;-1.26;-0.21;-0.84
1322;-1.32;-9.97;-1.36;0.06;0.95;-0.09;-0.77;-0.07;-0.84
1330;-1.24;-9.91;-1.26;0.06;0.95;-0.09;0.21;-0.35;-0.49
1339;-1.18;-10.04;-1.18;0.07;0.95;-0.08;0.14;-0.77;-0.70
1348;-1.28;-9.95;-1.35;0.07;0.95;-0.08;0.21;-1.19;-0.63
1357;-1.20;-9.93;-1.37;0.07;0.95;-0.08;-0.49;-0.84;-1.05
1366;-1.28;-10.04;-1.29;0.06;0.94;-0.09;-1.19;-1.33;-1.05
1374;-1.39;-10.02;-1.29;0.06;0.94;-0.09;-1.61;-1.05;-1.05
1383;-1.31;-10.10;-1.24;0.06;0.94;-0.09;-0.91;-0.70;-0.77
1392;-1.33;-9.96;-1.18;0.05;0.94;-0.09;17.50;-0.21;-0.07
1401;-1.32;-10.04;-1.22;0.05;0.94;-0.09;0.14;-0.14;0.14
1410;-1.23;-10.06;-1.19;0.05;0.94;-0.09;0.42;-0.35;0.21
1418;-1.23;-10.03;-1.28;0.06;0.94;-0.09;0.14;-0.70;0.14
1427;-1.26;-10.00;-1.18;0.06;0.94;-0.09;-0.63;-0.91;-0.35
1436;-1.28;-9.97;-1.22;0.06;0.94;-0.09;-1.33;-0.49;-0.70
1445;-1.47;-9.99;-1.09;0.07;0.95;-0.08;-1.54;0.00;-0.42
1454;-1.44;-10.06;-1.13;0.07;0.95;-0.08;-0.63;0.56;-0.28
1462;-1.39;-9.93;-1.13;0.07;0.95;-0.08;0.28;0.84;0.63
1471;-1.41;-10.01;-1.15;0.06;0.94;-0.09;0.70;0.21;1.33
1480;-1.30;-9.90;-1.18;0.06;0.94;-0.09;1.82;-0.63;0.98
1489;-1.33;-9.88;-1.11;0.06;0.94;-0.09;2.38;-0.35;1.05
1498;-1.36;-9.96;-1.08;0.06;0.95;-0.08;1.19;0.21;0.56
1506;-1.29;-9.88;-1.06;0.06;0.95;-0.08;0.07;0.49;-0.56
1515;-1.39;-9.98;-1.12;0.06;0.95;-0.09;-0.49;1.54;-0.42
1524;-1.44;-9.92;-1.09;0.06;0.95;-0.09;-0.42;1.47;-0.42
1533;-1.38;-9.96;-1.34;0.06;0.95;-0.09;-0.35;0.56;-0.49
1542;-1.34;-9.91;-1.34;0.06;0.94;-0.08;-0.63;0.42;-0.28
1550;-1.43;-9.83;-1.30;0.06;0.94;-0.08;-1.61;-0.28;-0.63
1559;-1.39;-9.90;-1.22;0.06;0.94;-0.08;-1.05;0.00;-0.77
1568;-1.29;-9.89;-1.11;0.07;0.95;-0.09;-0.56;0.56;-0.28
1577;-1.35;-9.91;-1.27;0.07;0.95;-0.09;0.21;1.33;0.56
1586;-1.23;-9.84;-1.23;0.07;0.95;-0.09;0.98;1.54;0.84
1594;-1.33;-9.90;-1.41;0.07;0.94;-0.08;0.98;1.54;0.63
1603;-1.34;-9.78;-1.33;0.07;0.94;-0.08;1.33;1.40;0.49
1612;-1.26;-9.72;-1.34;0.07;0.94;-0.08;0.91;1.05;-0.35
1621;-1.22;-9.76;-1.49;0.07;0.95;-0.08;0.49;0.49;-0.70
1630;-1.14;-9.85;-1.48;0.07;0.95;-0.08;-0.49;0.35;-1.19
1638;-1.20;-9.81;-1.37;0.07;0.95;-0.08;-1.05;0.28;-1.33
1647;-1.21;-9.93;-1.38;0.06;0.94;-0.08;-0.77;0.00;-1.19
1656;-1.21;-9.98;-1.31;0.06;0.94;-0.08;-0.14;-0.07;-1.12
1665;-1.39;-9.90;-1.49;0.06;0.94;-0.08;0.07;0.63;-0.63
1674;-1.32;-9.93;-1.32;0.07;0.95;-0.09;0.42;0.70;-0.56
1682;-1.28;-9.86;-1.44;0.07;0.95;-0.09;0.63;0.70;0.35
1691;-1.23;-9.89;-1.49;0.07;0.95;-0.09;0.49;0.42;0.07
1700;-1.26;-9.96;-1.44;0.06;0.95;-0.09;0.56;0.35;-0.21
1709;-1.36;-9.81;-1.49;0.06;0.95;-0.09;-0.42;-0.07;-0.70
1717;-1.28;-9.86;-1.46;0.06;0.95;-0.09;-0.98;-0.28;-1.05
1726;-1.31;-9.96;-1.54;0.07;0.93;-0.08;-1.19;-1.12;-1.05
1735;-1.36;-10.01;-1.46;0.07;0.93;-0.08;-0.70;-0.91;-0.98
1744;-1.30;-9.96;-1.46;0.07;0.93;-0.08;0.91;-1.19;-0.49
1753;-1.28;-9.98;-1.50;0.06;0.95;-0.08;0.98;-1.33;-0.28
1761;-1.24;-9.97;-1.41;0.06;0.95;-0.08;1.05;-1.54;0.35
1770;-1.20;-9.97;-1.28;0.06;0.95;-0.08;0.00;-1.47;-0.07
1779;-1.18;-9.91;-1.26;0.07;0.94;-0.08;-1.26;-1.19;-0.63
1788;-1.34;-10.04;-1.15;0.07;0.94;-0.08;-2.52;-0.84;-1.47
1797;-1.31;-10.12;-1.07;0.07;0.94;-0.08;-2.45;-0.28;-1.47
1805;-1.37;-10.11;-1.21;0.06;0.94;-0.09;-3.01;0.56;-1.47
1814;-1.44;-10.02;-1.29;0.06;0.94;-0.09;-3.64;1.19;-0.91
