Time(ms);AccX(m/s^2);AccY(m/s^2);AccZ(m/s^2);MagX(gauss);MagY(gauss);MagZ(gauss);GyroX(dps);GyroY(dps);GyroZ(dps)
7703.0;1.11;-1.54;9.36;0.08;0.06;0.18;1.33;3.43;1.33
7704.0;1.18;-1.49;9.32;0.08;0.06;0.18;-0.63;1.61;-0.63
7705.0;1.05;-1.46;9.38;0.08;0.06;0.2;1.05;2.66;1.05
7706.0;1.22;-1.47;9.38;0.08;0.06;0.2;-0.77;3.08;-0.77
7707.0;1.21;-1.4;9.43;0.09;0.05;0.19;1.12;2.38;1.12
7708.0;1.2;-1.49;9.54;0.09;0.05;0.19;0.77;3.64;0.77
7709.0;1.22;-1.47;9.54;0.09;0.05;0.19;-0.84;1.47;-0.84
7710.0;1.21;-1.47;9.43;0.09;0.05;0.19;0.63;1.75;0.63
7711.0;1.11;-1.53;9.45;0.09;0.05;0.19;0.0;2.66;0.0
7712.0;1.16;-1.63;9.38;0.09;0.05;0.19;0.14;2.03;0.14
7713.0;1.13;-1.49;9.5;0.08;0.06;0.19;0.84;1.75;0.84
7714.0;1.13;-1.54;9.42;0.08;0.06;0.19;0.28;3.57;0.28
7715.0;1.33;-1.6;9.4;0.07;0.06;0.18;-0.21;0.91;-0.21
7716.0;0.96;-1.45;9.55;0.07;0.06;0.18;0.63;1.82;0.63
7717.0;1.07;-1.54;9.34;0.08;0.05;0.18;-0.28;3.57;-0.28
7718.0;1.22;-1.55;9.42;0.08;0.05;0.18;-0.21;2.66;-0.21
7719.0;1.15;-1.45;9.41;0.08;0.05;0.18;2.24;2.17;2.24
7720.0;1.16;-1.44;9.55;0.08;0.06;0.2;-0.49;3.92;-0.49
7721.0;1.12;-1.62;9.48;0.08;0.06;0.2;-0.42;1.89;-0.42
7722.0;1.18;-1.52;9.48;0.08;0.06;0.2;1.82;1.68;1.82
7723.0;1.08;-1.51;9.48;0.08;0.06;0.19;-0.28;2.52;-0.28
7724.0;1.33;-1.37;9.46;0.08;0.06;0.19;-0.42;3.92;-0.42
7725.0;1.22;-1.47;9.45;0.08;0.06;0.19;1.47;3.08;1.47
7726.0;1.09;-1.48;9.36;0.08;0.05;0.2;0.28;2.94;0.28
7727.0;1.26;-1.49;9.49;0.08;0.05;0.2;-0.91;3.08;-0.91
7728.0;1.06;-1.47;9.53;0.09;0.06;0.18;1.26;4.9;1.26
7729.0;1.29;-1.43;9.38;0.09;0.06;0.18;-2.59;2.24;-2.59
7730.0;1.26;-1.43;9.32;0.09;0.06;0.18;2.73;3.57;2.73
7731.0;1.22;-1.41;9.46;0.08;0.06;0.18;0.28;4.62;0.28
7732.0;1.41;-1.44;9.38;0.08;0.06;0.18;-2.45;1.61;-2.45
7733.0;1.2;-1.52;9.36;0.08;0.06;0.18;2.45;-0.35;2.45
7734.0;1.18;-1.4;9.5;0.07;0.06;0.19;-0.63;5.53;-0.63
7735.0;1.46;-1.46;9.27;0.07;0.06;0.19;-0.21;1.96;-0.21
7736.0;1.03;-1.41;9.58;0.08;0.05;0.2;2.31;16.87;2.31
7737.0;1.06;-1.46;9.49;0.08;0.05;0.2;-1.47;5.81;-1.47
7738.0;1.49;-1.58;9.42;0.09;0.06;0.19;-0.35;1.82;-0.35
7739.0;1.04;-1.49;9.4;0.09;0.06;0.19;0.84;-1.12;0.84
7740.0;1.06;-1.47;9.46;0.09;0.06;0.19;-17.71;5.88;-17.71
7741.0;1.34;-1.65;9.4;0.08;0.06;0.19;0.21;2.17;0.21
7742.0;1.15;-1.41;9.51;0.08;0.06;0.19;2.94;0.35;2.94
7743.0;1.08;-1.56;9.45;0.08;0.06;0.19;-1.89;4.62;-1.89
7744.0;1.31;-1.49;9.38;0.09;0.07;0.18;0.0;1.54;0.0
7745.0;1.18;-1.36;9.43;0.09;0.07;0.18;2.8;2.52;2.8
7746.0;1.26;-1.57;9.42;0.09;0.06;0.2;-2.03;4.41;-2.03
7747.0;1.31;-1.52;9.49;0.09;0.06;0.2;2.24;0.7;2.24
7748.0;0.98;-1.41;9.38;0.09;0.06;0.2;0.98;2.52;0.98
7749.0;1.21;-1.48;9.5;0.08;0.06;0.18;-2.24;3.29;-2.24
7750.0;1.27;-1.51;9.38;0.08;0.06;0.18;2.31;-0.42;2.31
7751.0;0.93;-1.48;9.57;0.07;0.05;0.19;0.56;3.99;0.56
7752.0;1.34;-1.61;9.35;0.07;0.05;0.19;-0.28;3.71;-0.28
7753.0;1.16;-1.54;9.5;0.07;0.05;0.19;1.75;-0.98;1.75
7754.0;1.01;-1.49;9.5;0.09;0.06;0.19;-0.63;1.96;-0.63
7755.0;1.28;-1.59;9.29;0.09;0.06;0.19;-0.28;3.57;-0.28
7756.0;1.08;-1.54;9.46;0.08;0.06;0.19;2.66;0.7;2.66
7757.0;1.06;-1.54;9.43;0.08;0.06;0.19;-0.7;5.32;-0.7
7758.0;1.23;-1.55;9.46;0.08;0.06;0.19;0.0;2.38;0.0
7759.0;1.12;-1.57;9.39;0.08;0.06;0.19;0.49;0.14;0.49
7760.0;1.06;-1.44;9.4;0.08;0.06;0.19;-1.47;4.2;-1.47
7761.0;1.28;-1.51;9.33;0.08;0.06;0.19;1.26;2.66;1.26
7762.0;0.98;-1.53;9.5;0.08;0.06;0.19;1.05;2.31;1.05
7763.0;1.19;-1.53;9.45;0.08;0.06;0.19;-0.77;3.99;-0.77
7764.0;1.2;-1.56;9.43;0.08;0.06;0.17;-0.07;1.89;-0.07
7765.0;1.09;-1.49;9.51;0.08;0.06;0.17;0.63;0.35;0.63
7766.0;1.08;-1.46;9.43;0.08;0.06;0.17;-0.21;3.78;-0.21
7767.0;1.34;-1.46;9.39;0.09;0.06;0.19;1.61;3.22;1.61
7768.0;1.08;-1.46;9.54;0.09;0.06;0.19;0.21;1.89;0.21
7769.0;1.16;-1.59;9.53;0.08;0.05;0.18;-0.63;3.57;-0.63
7770.0;1.21;-1.5;9.38;0.08;0.05;0.18;-0.49;0.49;-0.49
7771.0;1.03;-1.49;9.42;0.08;0.05;0.18;1.26;3.15;1.26
7772.0;1.13;-1.45;9.45;0.09;0.06;0.18;0.07;5.04;0.07
7773.0;1.16;-1.53;9.45;0.09;0.06;0.18;0.77;1.96;0.77
7774.0;1.11;-1.52;9.61;0.09;0.05;0.19;-0.21;2.17;-0.21
7775.0;1.19;-1.46;9.28;0.09;0.05;0.19;-1.19;2.66;-1.19
7776.0;1.09;-1.51;9.47;0.09;0.05;0.19;1.54;1.75;1.54
7777.0;1.23;-1.44;9.36;0.08;0.06;0.19;0.0;4.48;0.0
7778.0;1.2;-1.59;9.45;0.08;0.06;0.19;0.91;2.52;0.91
7779.0;1.11;-1.46;9.53;0.08;0.06;0.19;0.49;1.47;0.49
7780.0;1.14;-1.51;9.43;0.08;0.06;0.19;-0.7;3.36;-0.7
7781.0;1.21;-1.5;9.45;0.08;0.06;0.19;0.28;1.26;0.28
7782.0;1.09;-1.4;9.5;0.08;0.06;0.21;1.47;3.29;1.47
7783.0;1.23;-1.6;9.4;0.08;0.06;0.21;-0.28;4.13;-0.28
7784.0;1.18;-1.46;9.46;0.07;0.06;0.19;1.54;0.7;1.54
7785.0;1.09;-1.51;9.45;0.07;0.06;0.19;-1.12;2.24;-1.12
7786.0;1.27;-1.6;9.4;0.07;0.06;0.19;0.0;2.59;0.0
7787.0;1.13;-1.54;9.52;0.08;0.06;0.19;0.63;1.68;0.63
7788.0;1.06;-1.56;9.42;0.08;0.06;0.19;0.42;3.64;0.42
7789.0;1.19;-1.56;9.48;0.09;0.07;0.2;0.42;1.89;0.42
7790.0;1.09;-1.39;9.48;0.09;0.07;0.2;-0.21;1.05;-0.21
7791.0;1.16;-1.61;9.25;0.07;0.07;0.18;-0.07;2.87;-0.07
7792.0;1.1;-1.59;9.35;0.07;0.07;0.18;1.4;2.94;1.4
7793.0;1.11;-1.5;9.46;0.07;0.07;0.18;1.61;3.01;1.61
7794.0;1.18;-1.58;9.48;0.08;0.05;0.19;0.21;3.01;0.21
7795.0;1.2;-1.54;9.36;0.08;0.05;0.19;0.0;1.82;0.0
7796.0;1.18;-1.48;9.47;0.08;0.05;0.19;0.0;1.19;0.0
7797.0;1.03;-1.59;9.37;0.08;0.06;0.2;0.84;3.71;0.84
7798.0;1.16;-1.56;9.3;0.08;0.06;0.2;1.12;3.15;1.12
7799.0;1.13;-1.47;9.61;0.09;0.06;0.19;0.63;2.24;0.63
7800.0;1.06;-1.54;9.45;0.09;0.06;0.19;-0.56;2.59;-0.56
